Timestamp,Name,Accuracy(Lights_On),WPM(Lights_On),Accuracy(Lights_Off),WPM(Lights_Off)
4/5/2026 10:21:03,fawz,0.92,26,0.71,10
4/5/2026 10:21:25,suh,0.83,21,0.87,28
4/5/2026 10:21:48,yah,0.5,2,0.55,2
4/5/2026 10:21:55,ran,0.9,42,0.24,80
4/5/2026 10:21:56,ri,0.94,26,0.94,22
4/5/2026 10:22:06,fer,1,50,0.97,49
4/5/2026 10:22:22,xz,0.84,27,0.9,27
4/5/2026 10:22:24,aaa,0,0,0,0
4/5/2026 10:22:56,ssa,0.21,0,0.21,0
4/5/2026 10:23:16,roma.7708,0.24,90,0.22,90
4/5/2026 10:23:48,sha,0.95,14,0,47
4/5/2026 10:26:15,sora,0.16,0,0.27,0
4/5/2026 10:26:54,mash,0.93,21,0.45,12
4/5/2026 10:27:24,sh,0.97,14,0.9,16